Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22pF","C_0603_1608Metric",113.965000,-60.755000,270.000000,top
"C2","22pF","C_0603_1608Metric",110.390000,-63.555000,0.000000,top
"C3","10uF","C_0603_1608Metric",136.525000,-66.929000,180.000000,top
"C4","0.1uF","C_0603_1608Metric",104.340000,-59.055000,0.000000,top
"C5","0.1uF","C_0603_1608Metric",93.615000,-67.555000,180.000000,top
"C6","0.1uF","C_0603_1608Metric",93.090000,-62.955000,180.000000,top
"C7","0.1uF","C_0603_1608Metric",95.590000,-71.055000,180.000000,top
"C8","4.7uF","C_0603_1608Metric",118.365000,-60.555000,90.000000,top
"C9","1uF","C_0603_1608Metric",102.940000,-70.655000,0.000000,top
"D1","D_Schottky","D_0603_1608Metric",95.152500,-88.105000,0.000000,top
"D2","D_Schottky","D_0603_1608Metric",114.137500,-88.195000,0.000000,top
"D3","D_Schottky","D_0603_1608Metric",133.165000,-88.155000,0.000000,top
"D4","D_Schottky","D_0603_1608Metric",152.365000,-87.955000,0.000000,top
"D5","D_Schottky","D_0603_1608Metric",171.365000,-88.155000,0.000000,top
"R1","22","R_0603_1608Metric",109.540000,-71.555000,0.000000,top
"R2","22","R_0603_1608Metric",109.540000,-70.055000,0.000000,top
"R3","5.1k","R_0603_1608Metric",146.876000,-62.103000,0.000000,top
"R4","5.1k","R_0603_1608Metric",146.939000,-65.151000,0.000000,top
"U1","MCU-ATMEGA32U4-MUR(VQFN44)","QFN44G-0.5-7X7MM",101.421000,-65.055000,90.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",110.765000,-60.905000,180.000000,top
